eventime,index,evenPrice,evenPrice5d,evenPrice1m,evenPrice3m,evenPrice6m,evenPrice1y
2017-01-01,1723,110.71,112.58,111.18,108.37,122.36,152.95
2016-01-01,1723,100.66,102.01,96.19,95.29,96.7,110.71
2015-01-01,1723,124.61,127.13,124.2,117.48,91.72,100.66
2014-01-01,1723,140.65,140.25,140.65,154.31,148.53,124.61
2013-01-01,1723,112.19,110.28,111.43,116.41,137.84,140.65
2012-01-01,1723,103.57,98.88,99.6,99.6,99.17,112.19
2011-01-01,1723,109.38,113.17,118.35,109.72,92.75,103.57
2010-01-01,1723,58.48,59.46,62.12,61.08,75.56,109.38
2009-01-01,1723,35.73,36.94,37.97,39.79,56.27,58.48
2008-01-01,1723,45.8,45.75,45.42,47.77,38.15,35.73
2007-01-01,1723,31.26,31.96,31.57,35.19,48.16,45.8
2006-01-01,1723,19.95,19.99,21.17,21.78,23.55,31.26
2005-01-01,1723,20.02,19.98,18.99,19.32,20.45,19.95
2004-01-01,1723,16.02,16.44,15.37,16.29,19.24,20.02
2003-01-01,1723,11.17,11.66,10.62,12.03,13.75,16.02
2002-01-01,1723,9.55,9.17,8.5,8.73,9.18,11.17
2001-01-01,1723,6.59,6.09,5.93,6.61,6.15,9.55
2000-01-01,1723,6.12,8.73,7.3,7.28,6.11,6.59
