,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017-01-01,17.19,135.48,132.24,113.86,219134.65,6.8,53.67,6.93,52.66,0.78,0.51,8.92,10.75,61.87,17.6,5.01,118.24,111.59,3.28
2016-01-01,16.98,132.92,135.79,118.49,249406.07,7.53,48.47,6.69,54.55,0.78,0.51,9.17,11.07,63.66,17.93,5.16,108.06,106.17,2.28
2015-01-01,17.44,133.1,130.21,110.65,156895.24,8.33,43.81,6.63,55.05,0.77,0.52,9.71,11.74,66.99,18.84,5.52,130.41,107.9,3.97
2014-01-01,17.28,128.14,117.85,101.65,100990.91,8.84,41.28,6.87,53.12,0.75,0.51,8.83,10.66,60.02,17.28,4.98,121.19,110.45,5.52
2013-01-01,17.19,126.31,102.87,85.74,134974.14,9.29,39.28,6.76,53.99,0.76,0.52,9.28,11.15,63.31,17.91,5.12,127.98,108.23,4.19
2012-01-01,14.85,123.59,168.26,161.43,205978.93,7.79,46.85,7.24,50.41,0.64,0.44,9.25,10.87,59.43,20.9,5.14,126.27,113.97,2.56
2011-01-01,14.9,124.88,171.37,165.66,294454.32,9.69,37.66,8.44,43.24,0.65,0.44,10.73,12.84,66.05,24.46,6.04,132.33,125.51,3.13
2010-01-01,17.96,122.11,158.03,154.26,748.94,12.36,29.53,8.44,43.24,0.62,0.42,10.74,12.87,71.87,25.54,4.91,121.97,134.73,4.69
2009-01-01,15.33,121.64,185.04,180.52,20232.78,13.26,27.52,5.6,65.17,0.59,0.42,9.7,11.64,56.87,23.78,4.51,134.85,133.99,4.18
2008-01-01,18.01,117.82,163.7,156.37,144733.81,17.61,20.72,10.82,33.73,0.58,0.41,9.74,11.67,58.98,24.1,4.64,133.23,136.61,5.31
2007-01-01,15.08,120.35,200.2,193.96,72219.05,16.2,22.53,12.27,29.74,0.57,0.4,10.42,12.14,63.0,25.89,4.56,151.52,141.09,5.72
2006-01-01,13.23,116.87,193.09,187.32,14157.02,14.5,25.17,10.58,34.49,0.54,0.4,9.76,11.13,59.19,24.35,4.63,195.7,135.62,7.49
2005-01-01,11.33,112.93,182.9,175.42,29818.91,13.67,26.7,8.2,44.51,0.51,0.4,10.29,12.44,60.7,25.99,4.94,200.17,132.68,9.82
2004-01-01,13.41,106.82,122.97,119.27,13657.3,12.61,28.94,7.99,45.68,0.48,0.39,10.75,13.14,61.84,27.32,5.17,168.95,114.62,10.82
2003-01-01,13.62,100.3,77.37,74.29,1367.62,11.05,33.03,9.12,40.02,0.45,0.39,10.47,12.97,60.45,27.07,5.03,172.37,100.02,11.39
2002-01-01,16.68,99.66,83.4,79.91,327.55,9.26,39.41,10.69,34.14,0.43,0.38,9.4,11.79,57.41,24.54,4.48,193.34,95.33,10.94
2001-01-01,16.89,97.54,63.1,57.9,120.79,9.76,37.39,37.56,9.71,0.45,0.4,8.15,10.43,49.76,20.46,3.86,172.69,95.06,9.59
2000-01-01,15.78,101.62,102.41,94.96,303.58,12.48,29.24,43.06,8.47,0.72,0.6,13.86,17.31,85.08,22.55,6.51,184.93,100.13,13.86
